case_id,amount,transaction_age_days,payment_method,account_age_days,previous_orders,previous_chargebacks,previous_refunds,device_seen_before,location_consistent,velocity_24h,delivered,delivery_confirmed,delivery_age_days,customer_contacted,merchant_response_time_hours,refund_requested,dispute_type,dispute_text
CB-00061,5558.31,11,upi,762,18,0,1,True,True,0,True,True,27,True,5.0,True,PRODUCT_NOT_AS_DESCRIBED,Customer disputes the purchase because the product was not as expected. The customer mentions asking for their money back. They mention contacting the merchant. The dispute was filed after the expected delivery period.
CB-00062,3369.68,27,wallet,930,8,1,2,False,True,4,True,False,13,True,7.8,True,UNAUTHORIZED_TRANSACTION,Customer says they did not authorize this payment. The customer mentions asking for their money back. They report that they tried to resolve this with the seller.
CB-00063,3715.74,34,netbanking,899,10,1,1,False,True,4,False,False,0,True,36.4,False,PRODUCT_NOT_AS_DESCRIBED,Customer disputes the purchase because the product was not as expected. They report that they tried to resolve this with the seller.
CB-00064,6519.72,63,netbanking,800,10,0,1,True,True,2,True,True,13,False,5.7,False,UNAUTHORIZED_TRANSACTION,The buyer says they do not recognize this transaction.
CB-00065,929.84,6,wallet,1072,20,0,3,True,True,2,True,True,27,False,11.4,False,ITEM_NOT_RECEIVED,Customer reports that the shipment was not received.
CB-00066,1310.69,69,netbanking,849,15,2,3,True,True,2,True,False,26,True,79.5,True,PRODUCT_NOT_AS_DESCRIBED,The buyer says the delivered product was materially different. They report that they tried to resolve this with the seller. The order appears in their account history. They say they requested a refund.
CB-00067,1659.24,9,wallet,1127,10,0,2,True,True,2,True,True,13,False,4.2,False,UNAUTHORIZED_TRANSACTION,The buyer says they do not recognize this transaction.
CB-00068,1098.2,11,upi,998,8,1,1,True,True,2,True,True,21,False,3.5,False,PRODUCT_NOT_AS_DESCRIBED,Customer says the product received was different from the listing. The dispute was filed after the expected delivery period.
CB-00069,1216.98,12,card,1002,17,0,1,True,True,4,True,True,26,False,13.3,False,UNAUTHORIZED_TRANSACTION,Buyer disputes the transaction as unauthorized. The merchant claims there is delivery confirmation.
CB-00070,6038.11,4,card,1010,11,0,1,True,True,1,True,True,22,False,11.9,False,ITEM_NOT_RECEIVED,Customer says the order never arrived. They refer to the original order.
CB-00071,4914.13,74,wallet,1106,12,0,0,True,True,2,True,True,22,False,8.2,False,ITEM_NOT_RECEIVED,Customer reports that the shipment was not received.
CB-00072,6452.76,32,wallet,696,16,0,1,False,False,4,True,False,31,False,6.3,False,PRODUCT_NOT_AS_DESCRIBED,The buyer says the delivered product was materially different. The order appears in their account history.
CB-00073,8289.89,18,card,1066,13,0,3,True,True,1,True,True,12,False,57.7,False,PRODUCT_NOT_AS_DESCRIBED,Customer says the product received was different from the listing. The seller says delivery was confirmed.
CB-00074,2636.49,10,upi,866,12,0,0,True,True,4,True,False,29,True,5.9,False,ITEM_NOT_RECEIVED,Customer says the order never arrived. The customer says they previously contacted support. They refer to the original order.
CB-00075,2100.41,35,wallet,785,10,0,0,True,True,0,True,True,30,True,24.3,True,UNAUTHORIZED_TRANSACTION,The buyer says they do not recognize this transaction. They mention contacting the merchant. The order appears in their account history. The customer mentions asking for their money back.
CB-00076,8696.1,43,upi,792,12,2,0,True,True,3,True,True,29,True,41.9,True,PRODUCT_NOT_AS_DESCRIBED,Customer disputes the purchase because the product was not as expected. The seller says delivery was confirmed. The customer says they previously contacted support. They say they requested a refund.
CB-00077,1692.05,12,upi,669,11,1,1,True,False,1,True,False,19,False,35.4,False,ITEM_NOT_RECEIVED,Customer disputes the transaction claiming the package was not received. The order appears in their account history.
CB-00078,1672.73,28,upi,540,19,0,0,True,True,2,True,True,20,False,15.6,False,PRODUCT_NOT_AS_DESCRIBED,Customer says the product received was different from the listing. They refer to the original order.
CB-00079,2096.6,35,card,962,14,0,4,True,False,0,True,True,17,True,4.3,False,UNAUTHORIZED_TRANSACTION,Buyer disputes the transaction as unauthorized. The dispute was filed after the expected delivery period. The customer says they previously contacted support.
CB-00080,8157.84,21,wallet,936,8,0,1,False,True,6,True,True,26,True,13.1,False,PRODUCT_NOT_AS_DESCRIBED,The buyer says the delivered product was materially different. They mention contacting the merchant. The seller says delivery was confirmed.
CB-00081,10475.42,30,upi,656,22,0,0,True,True,2,True,True,31,False,8.2,False,PRODUCT_NOT_AS_DESCRIBED,The buyer says the delivered product was materially different. They refer to the original order. The seller says delivery was confirmed.
CB-00082,340.35,16,wallet,995,15,0,0,True,True,2,True,True,14,False,16.6,False,PRODUCT_NOT_AS_DESCRIBED,Buyer claims the item did not match the description.
CB-00083,1815.77,30,card,1095,13,0,1,True,True,3,True,True,22,False,15.4,False,PRODUCT_NOT_AS_DESCRIBED,The buyer says the delivered product was materially different.
CB-00084,4910.69,34,wallet,695,10,0,0,True,True,2,True,True,14,True,15.8,True,ITEM_NOT_RECEIVED,Customer disputes the transaction claiming the package was not received. The customer says they previously contacted support. The seller says delivery was confirmed. They say they requested a refund. They refer to the original order.
CB-00085,1799.89,16,wallet,996,11,0,1,True,True,1,True,True,23,False,7.1,False,UNAUTHORIZED_TRANSACTION,Customer claims the card payment was not made by them. The merchant claims there is delivery confirmation.
CB-00086,1723.34,12,upi,783,10,1,1,True,True,3,False,False,0,True,19.5,False,UNAUTHORIZED_TRANSACTION,Customer says they did not authorize this payment. They report that they tried to resolve this with the seller.
CB-00087,4322.16,34,card,1131,15,0,0,True,True,2,True,True,31,True,28.3,True,ITEM_NOT_RECEIVED,Customer disputes the transaction claiming the package was not received. They say they requested a refund. They mention contacting the merchant. The seller says delivery was confirmed.
CB-00088,629.4,49,upi,792,17,0,2,True,True,2,True,True,14,False,31.7,False,PRODUCT_NOT_AS_DESCRIBED,The buyer says the delivered product was materially different.
CB-00089,3472.11,111,card,362,6,2,4,True,True,3,True,True,26,False,28.9,False,ITEM_NOT_RECEIVED,Customer disputes the transaction claiming the package was not received. The merchant claims there is delivery confirmation.
CB-00090,5034.76,35,wallet,1173,8,2,2,True,True,1,True,True,25,False,5.3,False,UNAUTHORIZED_TRANSACTION,The buyer says they do not recognize this transaction. The merchant claims there is delivery confirmation.
CB-00091,572.95,8,netbanking,1284,20,1,1,True,True,1,True,True,18,False,67.8,False,ITEM_NOT_RECEIVED,Customer says the order never arrived.
CB-00092,12085.96,19,netbanking,737,19,2,1,True,True,3,True,False,28,True,7.5,True,ITEM_NOT_RECEIVED,Customer reports that the shipment was not received. The dispute was filed after the expected delivery period. They report that they tried to resolve this with the seller. The customer mentions asking for their money back.
CB-00093,3254.85,24,wallet,669,14,0,0,True,True,3,True,True,25,True,8.2,True,UNAUTHORIZED_TRANSACTION,Customer says they did not authorize this payment. The customer mentions asking for their money back. The customer says they previously contacted support.
CB-00094,1525.71,43,upi,864,7,0,2,False,True,2,True,True,23,False,9.4,False,UNAUTHORIZED_TRANSACTION,Customer claims the card payment was not made by them.
CB-00095,2275.9,26,wallet,690,18,0,0,True,True,2,True,True,13,False,2.0,False,UNAUTHORIZED_TRANSACTION,The buyer says they do not recognize this transaction.
CB-00096,3488.91,71,upi,1098,14,0,0,True,True,1,True,True,34,False,12.6,False,UNAUTHORIZED_TRANSACTION,Customer says they did not authorize this payment. They refer to the original order. The seller says delivery was confirmed.
CB-00097,1432.34,14,card,651,11,0,1,True,True,2,True,True,16,True,35.0,False,UNAUTHORIZED_TRANSACTION,The buyer says they do not recognize this transaction. The customer says they previously contacted support. The seller says delivery was confirmed. The order appears in their account history.
CB-00098,4952.76,37,netbanking,1002,13,0,1,True,True,4,True,True,26,False,7.2,False,PRODUCT_NOT_AS_DESCRIBED,Customer says the product received was different from the listing. The merchant claims there is delivery confirmation.
CB-00099,2890.88,88,wallet,929,8,1,0,False,True,6,True,True,15,False,23.1,False,PRODUCT_NOT_AS_DESCRIBED,The buyer says the delivered product was materially different. The seller says delivery was confirmed.
CB-00100,2823.32,27,wallet,880,9,1,2,True,True,4,True,False,38,True,76.0,False,PRODUCT_NOT_AS_DESCRIBED,The buyer says the delivered product was materially different. They mention contacting the merchant. The order appears in their account history.
CB-00101,3501.93,19,upi,535,4,0,0,True,False,2,True,True,33,True,22.9,True,PRODUCT_NOT_AS_DESCRIBED,Customer disputes the purchase because the product was not as expected. They report that they tried to resolve this with the seller. The customer mentions asking for their money back. The seller says delivery was confirmed. The dispute was filed after the expected delivery period.
CB-00102,1453.2,11,netbanking,716,5,0,1,True,True,2,True,False,23,True,9.2,True,UNAUTHORIZED_TRANSACTION,Customer claims the card payment was not made by them. They mention contacting the merchant. They say they requested a refund.
CB-00103,412.09,13,upi,1033,14,0,1,True,True,2,True,False,18,True,16.7,True,ITEM_NOT_RECEIVED,Customer disputes the transaction claiming the package was not received. They mention contacting the merchant. The customer mentions asking for their money back. The dispute was filed after the expected delivery period.
CB-00104,2924.97,21,upi,891,11,0,1,True,True,3,False,False,0,False,4.9,False,ITEM_NOT_RECEIVED,The buyer says they are still waiting for the delivery.
CB-00105,1829.01,38,netbanking,766,5,0,0,True,False,2,True,True,28,False,13.5,False,ITEM_NOT_RECEIVED,Customer disputes the transaction claiming the package was not received. The dispute was filed after the expected delivery period.
CB-00106,3414.0,15,card,698,13,0,4,False,True,3,True,True,17,True,25.9,False,UNAUTHORIZED_TRANSACTION,Customer says they did not authorize this payment. They report that they tried to resolve this with the seller. The order appears in their account history.
CB-00107,888.98,21,card,1137,7,3,1,True,True,2,True,True,27,True,15.8,False,ITEM_NOT_RECEIVED,The buyer says they are still waiting for the delivery. The customer says they previously contacted support. The merchant claims there is delivery confirmation. They refer to the original order.
CB-00108,3325.26,22,card,473,14,0,2,True,True,1,False,False,0,False,12.3,False,ITEM_NOT_RECEIVED,Customer reports that the shipment was not received.
CB-00109,948.23,14,card,775,15,1,2,True,True,2,True,False,25,True,70.0,True,UNAUTHORIZED_TRANSACTION,Customer says they did not authorize this payment. They mention contacting the merchant. They say they requested a refund.
CB-00110,1368.61,41,upi,994,7,1,1,True,True,2,True,True,17,False,38.9,False,ITEM_NOT_RECEIVED,Customer says the order never arrived. The merchant claims there is delivery confirmation.
CB-00111,4042.49,7,wallet,772,11,0,1,False,True,2,True,True,17,True,21.9,True,PRODUCT_NOT_AS_DESCRIBED,The buyer says the delivered product was materially different. The customer says they previously contacted support. The customer mentions asking for their money back.
CB-00112,2834.67,30,card,942,11,0,2,False,True,0,True,True,21,False,15.5,False,PRODUCT_NOT_AS_DESCRIBED,Customer says the product received was different from the listing. The merchant claims there is delivery confirmation.
CB-00113,2101.32,20,card,952,10,0,0,True,True,3,True,True,19,False,10.6,False,UNAUTHORIZED_TRANSACTION,Buyer disputes the transaction as unauthorized. The dispute was filed after the expected delivery period. The merchant claims there is delivery confirmation.
CB-00114,612.51,27,wallet,792,9,1,2,True,False,1,True,True,18,False,15.6,False,UNAUTHORIZED_TRANSACTION,Customer claims the card payment was not made by them. They refer to the original order.
CB-00115,6543.12,24,wallet,1014,8,1,0,True,True,7,True,True,20,True,2.0,False,PRODUCT_NOT_AS_DESCRIBED,Customer says the product received was different from the listing. They refer to the original order. They report that they tried to resolve this with the seller.
CB-00116,2090.42,32,card,917,9,1,0,True,True,2,False,False,0,True,12.4,False,UNAUTHORIZED_TRANSACTION,Buyer disputes the transaction as unauthorized. They report that they tried to resolve this with the seller.
CB-00117,1126.18,35,netbanking,938,10,0,0,True,True,4,False,False,0,True,46.7,False,ITEM_NOT_RECEIVED,Customer disputes the transaction claiming the package was not received. They mention contacting the merchant.
CB-00118,926.04,13,upi,887,6,2,4,True,True,3,True,True,29,False,8.0,False,ITEM_NOT_RECEIVED,The buyer says they are still waiting for the delivery.
CB-00119,2798.59,23,wallet,1098,25,1,1,True,False,2,True,True,29,False,7.0,False,UNAUTHORIZED_TRANSACTION,Customer says they did not authorize this payment. They refer to the original order.
CB-00120,412.96,47,wallet,1022,12,1,1,True,False,2,False,False,0,False,19.3,False,UNAUTHORIZED_TRANSACTION,The buyer says they do not recognize this transaction.
CB-00121,995.42,38,card,1068,22,0,0,True,True,4,True,True,26,True,3.9,False,ITEM_NOT_RECEIVED,Customer reports that the shipment was not received. They refer to the original order. They report that they tried to resolve this with the seller. The merchant claims there is delivery confirmation.
CB-00122,2612.53,25,netbanking,751,14,1,1,True,False,5,True,True,15,True,35.6,True,PRODUCT_NOT_AS_DESCRIBED,Customer says the product received was different from the listing. The seller says delivery was confirmed. The customer mentions asking for their money back. They mention contacting the merchant.
CB-00123,3839.34,16,wallet,828,9,0,1,True,False,3,True,True,22,True,14.5,False,PRODUCT_NOT_AS_DESCRIBED,Customer says the product received was different from the listing. The merchant claims there is delivery confirmation. They refer to the original order. The customer says they previously contacted support.
CB-00124,6537.44,26,wallet,743,6,1,0,True,False,2,False,False,0,False,6.1,False,UNAUTHORIZED_TRANSACTION,Customer claims the card payment was not made by them.
CB-00125,5794.52,46,wallet,956,14,0,0,True,True,3,True,True,33,True,8.0,True,PRODUCT_NOT_AS_DESCRIBED,Customer says the product received was different from the listing. The seller says delivery was confirmed. They say they requested a refund. They refer to the original order. The customer says they previously contacted support.
CB-00126,9484.33,36,card,564,16,1,0,True,True,3,True,True,26,True,16.5,False,UNAUTHORIZED_TRANSACTION,Buyer disputes the transaction as unauthorized. They refer to the original order. They report that they tried to resolve this with the seller.
CB-00127,1078.87,9,netbanking,656,8,1,0,True,True,7,True,False,26,True,18.6,False,ITEM_NOT_RECEIVED,Customer disputes the transaction claiming the package was not received. The customer says they previously contacted support. The dispute was filed after the expected delivery period.
CB-00128,2119.22,28,card,775,10,1,4,True,True,2,True,False,21,False,8.7,False,ITEM_NOT_RECEIVED,Customer disputes the transaction claiming the package was not received.
CB-00129,2232.21,50,card,897,14,1,0,True,True,4,True,True,24,True,14.8,False,UNAUTHORIZED_TRANSACTION,The buyer says they do not recognize this transaction. The order appears in their account history. They mention contacting the merchant. The merchant claims there is delivery confirmation.
CB-00130,3002.89,56,netbanking,788,20,0,1,True,False,4,True,True,17,True,13.5,True,UNAUTHORIZED_TRANSACTION,Customer claims the card payment was not made by them. The merchant claims there is delivery confirmation. The customer says they previously contacted support. The customer mentions asking for their money back.
CB-00131,3151.81,22,upi,791,6,0,2,True,True,1,True,True,21,False,14.0,False,PRODUCT_NOT_AS_DESCRIBED,Customer says the product received was different from the listing. The seller says delivery was confirmed. They refer to the original order.
CB-00132,1160.87,35,netbanking,831,12,0,0,False,True,2,True,True,27,False,31.6,False,UNAUTHORIZED_TRANSACTION,The buyer says they do not recognize this transaction. The seller says delivery was confirmed.
CB-00133,4290.27,33,netbanking,1234,16,0,2,True,True,1,True,True,24,False,26.1,False,UNAUTHORIZED_TRANSACTION,The buyer says they do not recognize this transaction. They refer to the original order.
CB-00134,4867.32,29,upi,918,9,1,2,True,True,2,True,True,25,False,2.3,False,PRODUCT_NOT_AS_DESCRIBED,The buyer says the delivered product was materially different. They refer to the original order. The seller says delivery was confirmed.
CB-00135,1139.25,2,upi,1061,10,0,0,True,True,3,True,True,41,True,12.6,False,UNAUTHORIZED_TRANSACTION,The buyer says they do not recognize this transaction. The merchant claims there is delivery confirmation. They mention contacting the merchant. The dispute was filed after the expected delivery period.
CB-00136,3806.49,36,wallet,693,4,2,1,True,True,3,True,True,29,False,21.5,False,PRODUCT_NOT_AS_DESCRIBED,Customer says the product received was different from the listing. The merchant claims there is delivery confirmation.
CB-00137,908.7,22,wallet,779,14,2,2,True,True,2,True,True,25,False,17.8,False,ITEM_NOT_RECEIVED,The buyer says they are still waiting for the delivery. The dispute was filed after the expected delivery period. The merchant claims there is delivery confirmation.
CB-00138,3736.14,53,wallet,976,13,0,0,True,True,1,True,True,22,False,4.5,False,PRODUCT_NOT_AS_DESCRIBED,Customer disputes the purchase because the product was not as expected.
CB-00139,2268.04,60,card,1031,10,0,0,True,False,0,False,False,0,False,21.5,False,UNAUTHORIZED_TRANSACTION,Customer says they did not authorize this payment.
CB-00140,2226.6,13,netbanking,942,7,2,2,True,False,0,True,False,19,False,3.9,False,ITEM_NOT_RECEIVED,Customer disputes the transaction claiming the package was not received.
CB-00141,5533.24,11,card,923,11,1,0,True,True,1,True,True,21,False,5.7,False,UNAUTHORIZED_TRANSACTION,Customer says they did not authorize this payment. The merchant claims there is delivery confirmation. The dispute was filed after the expected delivery period.
