case_id,split
CB-00223,test
CB-00224,test
CB-00225,test
CB-00226,train
CB-00227,validation
CB-00228,train
CB-00229,train
CB-00230,train
CB-00231,train
CB-00232,train
CB-00233,validation
CB-00234,train
CB-00235,train
CB-00236,train
CB-00237,test
CB-00238,train
CB-00239,train
CB-00240,train
CB-00241,validation
CB-00242,test
CB-00243,test
CB-00244,train
CB-00245,test
CB-00246,train
CB-00247,train
CB-00248,train
CB-00249,train
CB-00250,validation
CB-00251,test
CB-00252,train
CB-00253,test
CB-00254,test
CB-00255,train
CB-00256,validation
CB-00257,validation
CB-00258,train
CB-00259,test
CB-00260,train
CB-00261,train
CB-00262,train
CB-00263,validation
CB-00264,train
CB-00265,train
CB-00266,train
CB-00267,validation
CB-00268,train
CB-00269,train
CB-00270,validation
CB-00271,train
CB-00272,test
CB-00273,train
CB-00274,test
CB-00275,train
CB-00276,train
CB-00277,validation
CB-00278,train
CB-00279,train
CB-00280,train
CB-00281,train
CB-00282,test
CB-00283,train
CB-00284,train
CB-00285,test
CB-00286,train
CB-00287,validation
CB-00288,train
CB-00289,train
CB-00290,validation
CB-00291,train
CB-00292,train
CB-00293,train
CB-00294,train
CB-00295,validation
CB-00296,train
CB-00297,test
CB-00298,test
CB-00299,validation
CB-00300,validation
CB-00301,validation
CB-00302,train
CB-00303,test
CB-00304,train
CB-00305,train
CB-00306,train
CB-00307,train
CB-00308,validation
CB-00309,train
CB-00310,validation
CB-00311,validation
CB-00312,train
CB-00313,test
CB-00314,train
CB-00315,train
CB-00316,train
CB-00317,test
CB-00318,test
CB-00319,train
CB-00320,train
CB-00321,validation
CB-00322,train
CB-00323,validation
CB-00324,validation
CB-00325,train
CB-00326,train
CB-00327,train
CB-00328,train
CB-00329,train
CB-00330,validation
CB-00331,train
CB-00332,train
CB-00333,train
CB-00334,train
CB-00335,validation
CB-00336,train
CB-00337,train
CB-00338,train
CB-00339,train
CB-00340,train
CB-00341,train
CB-00342,test
CB-00343,train
CB-00344,validation
CB-00345,train
CB-00346,train
CB-00347,train
CB-00348,train
CB-00349,validation
CB-00350,test
CB-00351,train
CB-00352,train
CB-00353,train
CB-00354,test
CB-00355,train
CB-00356,test
CB-00357,train
CB-00358,train
CB-00359,train
CB-00360,validation
CB-00361,validation
CB-00362,train
CB-00363,validation
CB-00364,train
CB-00365,train
CB-00366,test
CB-00367,train
CB-00368,train
CB-00369,train
CB-00370,validation
CB-00371,train
CB-00372,validation
CB-00373,train
CB-00374,test
CB-00375,train
CB-00376,validation
CB-00377,train
CB-00378,train
CB-00379,test
CB-00380,validation
CB-00381,validation
CB-00382,train
CB-00383,train
CB-00384,test
CB-00385,validation
CB-00386,test
CB-00387,train
CB-00388,validation
CB-00389,test
CB-00390,validation
CB-00391,train
CB-00392,validation
CB-00393,train
CB-00394,train
CB-00395,train
CB-00396,train
CB-00397,train
CB-00398,validation
CB-00399,train
CB-00400,train
CB-00401,test
CB-00402,train
CB-00403,train
CB-00404,train
CB-00405,train
CB-00406,train
CB-00407,test
CB-00408,train
CB-00409,train
CB-00410,test
CB-00411,train
CB-00412,train
CB-00413,validation
CB-00414,train
CB-00415,train
CB-00416,train
CB-00417,test
CB-00418,train
CB-00419,train
CB-00420,train
CB-00421,validation
CB-00422,train
CB-00423,train
CB-00424,train
CB-00425,validation
CB-00426,validation
CB-00427,validation
CB-00428,train
CB-00429,train
CB-00430,train
CB-00431,validation
CB-00432,train
CB-00433,train
CB-00434,train
CB-00435,train
CB-00436,train
CB-00437,train
CB-00438,test
CB-00439,train
CB-00440,test
CB-00441,train
CB-00442,validation
CB-00443,train
CB-00444,test
CB-00445,train
CB-00446,validation
CB-00447,train
CB-00448,train
CB-00449,train
CB-00450,validation
CB-00451,train
CB-00452,train
CB-00453,test
CB-00454,train
CB-00455,train
CB-00456,train
CB-00457,train
CB-00458,test
CB-00459,train
CB-00460,validation
CB-00461,test
CB-00462,test
CB-00463,train
CB-00464,validation
CB-00465,train
CB-00466,test
CB-00467,validation
CB-00468,test
CB-00469,train
CB-00470,validation
CB-00471,test
CB-00472,test
CB-00473,train
CB-00474,train
CB-00475,train
CB-00476,train
CB-00477,train
CB-00478,test
CB-00479,train
CB-00480,train
CB-00481,train
CB-00482,test
CB-00483,train
CB-00484,train
CB-00485,validation
CB-00486,train
CB-00487,train
CB-00488,train
CB-00489,train
CB-00490,validation
CB-00491,train
CB-00492,test
CB-00493,train
CB-00494,test
CB-00495,test
CB-00496,train
CB-00497,train
CB-00498,train
CB-00499,validation
CB-00500,train
CB-00501,validation
CB-00502,validation
CB-00503,train
CB-00504,validation
CB-00505,train
CB-00506,train
CB-00507,train
CB-00508,train
CB-00509,train
CB-00510,train
CB-00511,test
CB-00512,test
CB-00513,train
CB-00514,train
CB-00515,train
CB-00516,test
CB-00517,train
CB-00518,train
CB-00519,train
CB-00520,test
CB-00521,train
CB-00522,validation
CB-00523,train
CB-00524,validation
CB-00525,test
CB-00526,test
CB-00527,train
CB-00528,train
CB-00529,train
CB-00530,train
CB-00531,train
CB-00532,train
CB-00533,train
CB-00534,test
CB-00535,train
CB-00536,train
CB-00537,train
CB-00538,validation
CB-00539,validation
CB-00540,validation
CB-00541,train
CB-00542,test
CB-00543,train
CB-00544,test
CB-00545,train
CB-00546,test
CB-00547,validation
CB-00548,train
CB-00549,test
CB-00550,train
CB-00551,train
CB-00552,test
CB-00553,train
CB-00554,test
CB-00555,train
CB-00556,train
CB-00557,train
CB-00558,train
CB-00559,validation
CB-00560,test
CB-00561,train
CB-00562,train
CB-00563,train
CB-00564,train
CB-00565,train
CB-00566,train
CB-00567,train
CB-00568,train
CB-00569,train
CB-00570,train
CB-00571,train
CB-00572,train
CB-00573,train
CB-00574,validation
CB-00575,test
CB-00576,train
CB-00577,train
CB-00578,train
CB-00579,train
CB-00580,test
CB-00581,train
CB-00582,train
CB-00583,validation
CB-00584,train
CB-00585,train
CB-00586,validation
CB-00587,validation
CB-00588,validation
CB-00589,train
CB-00590,train
CB-00591,validation
CB-00592,train
CB-00593,train
CB-00594,train
CB-00595,train
CB-00596,train
CB-00597,train
CB-00598,test
CB-00599,train
CB-00600,train
